,country,capital,area,population
BR,Brazil,Brasilia,8.516,200.40
RU,Russia,Moscow,17.100,143.50
IN,India,New Delhi,3.286,1312.00
CH,China,Beijing,9.597,1357.00
SA,South Africa,Prtetoria,1.221,52.98
